time_zone	country	Column1
Abu Dhabi	UNITED ARAB EMIRATES	
Adelaide	AUSTRALIA	
Alaska	UNITED STATES	
Almaty	KAZAKHSTAN	
Amsterdam	NETHERLANDS	
Arizona	UNITED STATES	
Astana	KAZAKHSTAN	
Athens	GREECE	
Atlantic Time (Canada)	CANADA	
Auckland	NEW ZEALAND	
Azores	SPAIN	
Baghdad	IRAQ	
Baku	AZERBAIJAN	
Bangkok	THAILAND	
Beijing	CHINA	
Belgrade	BELGIUM	
Berlin	GERMANY	
Bern	GERMANY	
Bogota	COLOMBIA	
Brasilia	BRAZIL	
Bratislava	SLOVAKIA	
Brisbane	AUSTRALIA	
Brussels	BELGIUM	
Bucharest	ROMANIA	
Budapest	HUNGARY	
Buenos Aires	ARGENTINA	
Cairo	EGYPT	
Canberra	AUSTRALIA	
Cape Verde Is.	CAPE VERDE	
Caracas	VENEZUELA	
Casablanca	MOROCCO	
Central America	MEXICO	Inferred
Central Time (US & Canada)	UNITED STATES	Inferred
Chennai	INDIA	
Chihuahua	MEXICO	
Chongqing	CHINA	
Copenhagen	DENMARK	
Darwin	AUSTRALIA	
Dhaka	BANGLADESH	
Dublin	IRELAND	
Eastern Time (US & Canada)	UNITED STATES	Inferred
Edinburgh	UNITED KINGDOM	
Ekaterinburg	RUSSIAN FEDERATION	
Fiji	SAUDI ARABIA	
Georgetown	GUYANA	
Greenland	GREENLAND	
Guadalajara	MEXICO	
Guam	GUAM	
Hanoi	VIET NAM	
Harare	ZIMBABWE	
Hawaii	UNITED STATES	
Helsinki	FINLAND	
Hobart	AUSTRALIA	
Hong Kong	HONG KONG	
Indiana (East)	UNITED STATES	Inferred
International Date Line West		
Irkutsk	RUSSIAN FEDERATION	
Islamabad	PAKISTAN	
Istanbul	TURKEY	
Jakarta	INDONESIA	
Jerusalem	ISRAEL	
Kabul	AFGHANISTAN	
Kamchatka	RUSSIAN FEDERATION	
Karachi	PAKISTAN	
Kathmandu	NEPAL	
Kolkata	INDIA	
Krasnoyarsk	RUSSIAN FEDERATION	
Kuala Lumpur	MALAYSIA	
Kuwait	KUWAIT	
Kyiv	UKRAINE	
La Paz	BOLIVIA	
Lima	PERU	
Lisbon	PORTUGAL	
Ljubljana	SLOVENIA	
London	UNITED KINGDOM	
Madrid	SPAIN	
Magadan	ROMANIA	
Marshall Is.	MARSHALL ISLANDS	
Mazatlan	MEXICO	
Melbourne	AUSTRALIA	
Mexico City	MEXICO	
Mid-Atlantic	UNITED STATES	Inferred
Midway Island	UNITED STATES	
Minsk	BELARUS	
Monrovia	LIBERIA	
Monterrey	MEXICO	
Moscow	RUSSIAN FEDERATION	
Mountain Time (US & Canada)	UNITED STATES	Inferred
Mumbai	INDIA	
Muscat	OMAN	
Nairobi	KENYA	
New Caledonia	FRANCE	
New Delhi	INDIA	
Newfoundland	UNITED STATES	
Novosibirsk	UKRAINE	
Nuku'alofa	TONGA	
Osaka	JAPAN	
Pacific Time (US & Canada)	UNITED STATES	Inferred
Paris	FRANCE	
Perth	AUSTRALIA	
Port Moresby	PAPUA NEW GUINEA	
Prague	CZECH REPUBLIC	
Pretoria	SOUTH AFRICA	
Quito	ECUADOR	
Rangoon	MYANMAR	
Riga	LATVIA	
Riyadh	SAUDI ARABIA	
Rome	ITALY	
Samoa	PAPUA NEW GUINEA	
Santiago	CHILE	
Sapporo	JAPAN	
Sarajevo	BOSNIA AND HERZEGOWINA	
Saskatchewan	CANADA	
Seoul	KOREA (S)	
Singapore	SINGAPORE	
Skopje	MACEDONIA	
Sofia	BULGARIA	
Solomon Is.	SOLOMON ISLANDS	
Sri Jayawardenepura	SRI LANKA	
St. Petersburg	RUSSIAN FEDERATION	
Stockholm	SWEDEN	
Sydney	AUSTRALIA	
Taipei	TAIWAN	
Tallinn	ESTONIA	
Tashkent	UZBEKISTAN	
Tbilisi	GEORGIA	
Tehran	IRAN (ISLAMIC REPUBLIC OF)	
Tijuana	MEXICO	
Tokyo	JAPAN	
Ulaan Bataar	MONGOLIA	
Urumqi	CHINA	
Vienna	AUSTRIA	
Vilnius	LITHUANIA	
Vladivostok	RUSSIAN FEDERATION	
Volgograd	RUSSIAN FEDERATION	
Warsaw	POLAND	
Wellington	NEW ZEALAND	
West Central Africa	NIGERIA	Inferred
Yakutsk	RUSSIAN FEDERATION	
Yerevan	ARMENIA	
Zagreb	CROATIA		
